Year,Group title case,Total,Percent
1935,"Rental, Hiring And Real Estate Services",2009,3%
1935,Retail Trade,16479,27%
1935,"Transport, Postal And Warehousing",1292,2%
1935,Wholesale Trade,1764,3%
1945,Accommodation And Food Services,4099,7%
1945,Administrative And Support Services,204,<1%
1945,"Agriculture, Forestry And Fishing",481,<1%
1945,Arts And Recreation Services,1241,2%
1945,Construction,2433,4%
1945,Education And Training,1637,3%
1945,"Electricity, Gas, Water And Waste Services",74,<1%
1945,Financial And Insurance Services,1012,2%
1945,Health Care And Social Assistance,4159,7%
1945,Information Media And Telecommunications,541,<1%
1945,Manufacturing,9818,16%
1945,Mining,42,<1%
1945,Other Services,4220,7%
1945,"Professional, Scientific And Technical Services",5989,10%
1945,Public Administration And Safety,1,<1%
1945,"Rental, Hiring And Real Estate Services",2251,4%
1945,Retail Trade,20841,33%
1945,"Transport, Postal And Warehousing",1994,3%
1945,Wholesale Trade,1637,3%
1955,Accommodation And Food Services,4201,6%
1955,Administrative And Support Services,197,<1%
1955,"Agriculture, Forestry And Fishing",520,<1%
1955,Arts And Recreation Services,1185,2%
1955,Construction,2561,4%
1955,Education And Training,1531,2%
1955,"Electricity, Gas, Water And Waste Services",44,<1%
1955,Financial And Insurance Services,1415,2%
1955,Health Care And Social Assistance,3666,5%
1955,Information Media And Telecommunications,514,<1%
1955,Manufacturing,11227,15%
1955,Mining,55,<1%
1955,Other Services,6198,8%
1955,"Professional, Scientific And Technical Services",7857,11%
1955,Public Administration And Safety,7,<1%
1955,"Rental, Hiring And Real Estate Services",2482,3%
1955,Retail Trade,25024,34%
1955,"Transport, Postal And Warehousing",2309,3%
1955,Wholesale Trade,2025,3%
1965,Accommodation And Food Services,3985,5%
1965,Administrative And Support Services,292,<1%
1965,"Agriculture, Forestry And Fishing",575,<1%
1965,Arts And Recreation Services,1286,2%
1965,Construction,2956,4%
1965,Education And Training,1759,2%
1965,"Electricity, Gas, Water And Waste Services",50,<1%
1965,Financial And Insurance Services,1807,2%
1965,Health Care And Social Assistance,4733,6%
1965,Information Media And Telecommunications,397,<1%
1965,Manufacturing,11367,14%
1965,Mining,78,<1%
1965,Other Services,7236,9%
1965,"Professional, Scientific And Technical Services",9309,11%
1965,Public Administration And Safety,42,<1%
1965,"Rental, Hiring And Real Estate Services",2739,3%
1965,Retail Trade,30595,37%
1965,"Transport, Postal And Warehousing",2370,3%
1965,Wholesale Trade,2221,3%
1974,Accommodation And Food Services,2741,4%
1974,Administrative And Support Services,560,<1%
1974,"Agriculture, Forestry And Fishing",258,<1%
1974,Arts And Recreation Services,741,1%
1974,Construction,2180,3%
1974,Education And Training,978,1%
1974,"Electricity, Gas, Water And Waste Services",62,<1%
1974,Financial And Insurance Services,1165,2%
1974,Health Care And Social Assistance,4322,7%
1974,Information Media And Telecommunications,427,<1%
1974,Manufacturing,9160,14%
1974,Mining,122,<1%
1974,Other Services,5651,9%
1974,"Professional, Scientific And Technical Services",8981,14%
1974,Public Administration And Safety,57,<1%
1974,"Rental, Hiring And Real Estate Services",1843,3%
1974,Retail Trade,22770,35%
1974,"Transport, Postal And Warehousing",1072,2%
1974,Wholesale Trade,2130,3%
